BlockAddress_AB,Lat_AB,Long_AB,,Lat_C,Long_C
"300 block hudson st, Syracuse, NY",43.049908,-76.247867,,43.082791,-76.164248
"300 block columbus av, Syracuse, NY",43.050541,-76.242353,,43.082818,-76.159968
"100 block williams st, Syracuse, NY",43.060215,-76.2045,,43.082026,-76.15841
"700 block winkworth pkwy, Syracuse, NY",43.024133,-76.202396,,43.080063,-76.159926
"100 block rockwood rd, Syracuse, NY",43.023324,-76.200091,,43.079199,-76.165115
"200 block ardmore rd, Syracuse, NY",43.040442,-76.199066,,43.077842,-76.163735
"100 block kincaid av, Syracuse, NY",43.057873,-76.198602,,43.078237,-76.16128
"1200 block avery av, Syracuse, NY",43.058323,-76.198549,,43.07622,-76.16393
"400 block chemung st, Syracuse, NY",43.056795,-76.198191,,43.077234,-76.162666
"100 block sidman av, Syracuse, NY",43.058134,-76.197884,,43.07468,-76.168461
"100 block west end dr, Syracuse, NY",43.059093,-76.197752,,43.074067,-76.165943
"1100 block avery av, Syracuse, NY",43.057032,-76.197613,,43.07374,-76.16456
"200 block gere av, Syracuse, NY",43.058029,-76.197586,,43.075826,-76.163049
"100 block emerson av, Syracuse, NY",43.061438,-76.197544,,43.077026,-76.162174
"1200 block milton av, Syracuse, NY",43.059156,-76.197341,,43.072985,-76.169514
"1300 block willis av, Syracuse, NY",43.05995,-76.197218,,43.073865,-76.170616
"300 block essex st, Syracuse, NY",43.055375,-76.19698,,43.075451,-76.171308
"1000 block avery av, Syracuse, NY",43.055258,-76.196759,,43.077367,-76.172155
"1200 block willis av, Syracuse, NY",43.05921,-76.196626,,43.077451,-76.173282
"200 block hayden av, Syracuse, NY",43.053205,-76.196472,,43.078609,-76.17547
"1000 block emerson av, Syracuse, NY",43.06006,-76.196414,,43.079077,-76.17727
"200 block westwood rd, Syracuse, NY",43.024966,-76.196198,,43.079847,-76.177153
"1100 block willis av, Syracuse, NY",43.057561,-76.195854,,43.079272,-76.176158
"500 block state fair blvd, Syracuse, NY",43.064695,-76.195817,,43.073998,-76.171051
"100 block hayden av, Syracuse, NY",43.052189,-76.195768,,43.075443,-76.172667
"400 block state fair blvd, Syracuse, NY",43.064592,-76.195625,,43.075035,-76.171764
"100 block alton st, Syracuse, NY",43.023476,-76.195379,,43.076974,-76.174496
"900 block avery av, Syracuse, NY",43.053828,-76.195367,,43.077979,-76.176254
"200 block state fair blvd, Syracuse, NY",43.064387,-76.195242,,43.077176,-76.175834
"100 block state fair blvd, Syracuse, NY",43.064285,-76.19505,,43.077511,-76.176833
"200 block essex st, Syracuse, NY",43.056014,-76.194804,,43.07812,-76.177676
"500 block herkimer st, Syracuse, NY",43.052368,-76.194736,,43.072737,-76.170438
"1000 block willis av, Syracuse, NY",43.056335,-76.194638,,43.073429,-76.172892
"500 block myrtle st, Syracuse, NY",43.048686,-76.19463,,43.070992,-76.175486
"200 block chemung st, Syracuse, NY",43.058028,-76.194386,,43.074749,-76.17409
"400 block erie st, Syracuse, NY",43.051365,-76.194027,,43.073737,-76.173571
"700 block avery av, Syracuse, NY",43.051642,-76.193832,,43.076,-76.175455
"4700 block onondaga blvd, Syracuse, NY",43.031085,-76.193788,,43.075899,-76.174081
"900 block willis av, Syracuse, NY",43.054593,-76.193652,,43.066319,-76.175325
"2500 block bellevue av, Syracuse, NY",43.029294,-76.193362,,43.069163,-76.183262
"300 block myrtle st, Syracuse, NY",43.046725,-76.193254,,43.063481,-76.18889
"900 block emerson av, Syracuse, NY",43.058311,-76.192858,,43.064017,-76.17835
"400 block cayuga st, Syracuse, NY",43.049411,-76.192649,,43.062928,-76.171752
"500 block avery av, Syracuse, NY",43.049429,-76.192636,,43.06354,-76.170874
"1000 block milton av, Syracuse, NY",43.057042,-76.192514,,43.064706,-76.169507
"200 block myrtle st, Syracuse, NY",43.045509,-76.192401,,43.066659,-76.1674
"300 block erie st, Syracuse, NY",43.052128,-76.192041,,43.067335,-76.166158
"700 block hamilton st, Syracuse, NY",43.04844,-76.191975,,43.067725,-76.166313
"400 block avery av, Syracuse, NY",43.048709,-76.191801,,43.07038,-76.169281
"300 block lewis st, Syracuse, NY",43.055314,-76.19173,,43.072294,-76.170395
"200 block hillside av, Syracuse, NY",43.037097,-76.191397,,43.072117,-76.170555
"700 block schuyler st, Syracuse, NY",43.047476,-76.191286,,43.071244,-76.169341
"400 block electronics pkwy, Syracuse, NY",43.098263,-76.191136,,43.071642,-76.169228
