,X,LandUse,Total.Taxes.Owed,Num.Open.Violations,AssessedValue,VacantBuilding,ZIP,WaterService,YearBuilt,newaddress,Total_crimes,Occupied_Pr,Vacant_Pr,H_.1.3.P,H.4..P,Owner_Occupied,VacancyStatus_A
2,2,Vacant Land,0,0,Cheap,N,Syracuse,unknown,Old,76 elmhurst av,1,1,0,0.75,0.25,0.75,0.564011222
3,3,Single Family,0,0,Cheap,N,Syracuse,A,Old,84 elmhurst av,1,1,0,0.75,0.25,0.75,1
4,4,Single Family,0,0,Cheap,N,Syracuse,A,Old,74 elmhurst av,1,1,0,0.75,0.25,0.75,1
5,5,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,12 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
6,6,Single Family,0,0,Cheap,N,Syracuse,A,Old,5 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
7,7,Single Family,8538.23,3,Cheap,N,Syracuse,A,Old,7 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
8,8,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,15 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
9,9,Single Family,301.81,0,Cheap,N,Syracuse,A,Old,6 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
10,10,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,10 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
11,11,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,8 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
12,12,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,9 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
13,13,Single Family,0,0,Cheap,N,Syracuse,A,Old,1 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
14,14,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,3 kingsley pl,1,0.87,0.13,0.696,0.175,0.175,0
15,15,Single Family,0,0,Cheap,N,Syracuse,A,New,5 robincroft rd,1,0.891,0.109,0.694,0.198,0.422,0
16,16,Single Family,0,0,Cheap,N,Syracuse,A,Old,2 robincroft rd,1,0.891,0.109,0.694,0.198,0.422,0
17,17,Commercial,0,0,Moderate,N,Outside NY,A,New,99 state st s,1,0.933,0.067,0.844,0.089,0,0
18,18,Single Family,0,0,Moderate,N,Syracuse,A,Old,99 wellesley rd,1,1,0,0.749,0.25,0.643,0
19,19,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,102 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
20,20,Single Family,0,0,Cheap,N,Syracuse,A,Old,114 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
21,21,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,110 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
22,22,Single Family,455.88,0,Cheap,N,Syracuse,A,Very Old,120 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
23,23,Two Family,0,2,Cheap,Y,"Outside Syr, In NY",I,Old,116 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
24,24,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,106 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
25,25,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,108 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
26,26,Single Family,0,3,Cheap,Y,Syracuse,I,Old,123 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
27,27,Parking,0,0,Cheap,N,Syracuse,unknown,Old,125 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
28,28,Single Family,507.31,0,Cheap,N,Syracuse,A,Old,118 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
29,29,Single Family,0,0,Cheap,N,Syracuse,A,Old,110 alexander av,1,0.467,0.533,0.267,0.201,0.143,0
30,30,Single Family,0,0,Cheap,N,Syracuse,A,Old,124 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
31,31,Single Family,0,0,Cheap,N,Syracuse,A,Old,130 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
32,32,Single Family,0,10,Cheap,N,Syracuse,A,Old,113 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
33,33,Single Family,0,0,Cheap,N,Syracuse,A,Old,117 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
34,34,Single Family,11254.34,0,Cheap,N,Syracuse,A,Old,137 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
35,35,Single Family,0,0,Cheap,N,Syracuse,A,Old,120 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
36,36,Vacant Land,30529.9,0,Cheap,N,"Outside Syr, In NY",unknown,New,138 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
37,37,Single Family,0,0,Cheap,N,Syracuse,A,Old,128 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
38,38,Single Family,5504.22,0,Cheap,N,Syracuse,A,Old,125 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
39,39,Single Family,1407.59,0,Cheap,N,Syracuse,A,Old,129 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
40,40,Two Family,0,0,Cheap,N,Syracuse,A,Old,134 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
41,41,Single Family,0,0,Cheap,N,Syracuse,A,Old,121 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
42,42,Single Family,0,1,Cheap,N,Syracuse,A,Old,133 amherst av,1,0.8,0.2,0.527,0.274,0.171,0.053
43,43,Single Family,0,0,Cheap,N,Syracuse,A,Old,108 annetta st,1,0.333,0.667,0.333,0,0,0
44,44,Single Family,0,0,Cheap,N,Syracuse,A,Old,139 annetta st,1,0.333,0.667,0.333,0,0,0
45,45,Two Family,0,17,Cheap,Y,Syracuse,I,Old,135 annetta st,1,0.333,0.667,0.333,0,0,0
46,46,Single Family,2421.63,0,Cheap,N,Syracuse,A,Old,134 annetta st,1,0.333,0.667,0.333,0,0,0
47,47,Single Family,0,0,Cheap,N,Syracuse,A,Old,153 annetta st,1,0.333,0.667,0.333,0,0,0
48,48,Single Family,0,3,Cheap,N,Syracuse,A,Old,152 annetta st,1,0.333,0.667,0.333,0,0,0
49,49,Single Family,0,0,Cheap,N,Syracuse,A,Old,149 annetta st,1,0.333,0.667,0.333,0,0,0
50,50,Single Family,4911.34,1,Cheap,N,Syracuse,A,Old,130 annetta st,1,0.333,0.667,0.333,0,0,0
51,51,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,157 annetta st,1,0.333,0.667,0.333,0,0,0
52,52,Single Family,0,0,Cheap,N,Syracuse,A,Old,112 annetta st,1,0.333,0.667,0.333,0,0,0
53,53,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,105 annetta st,1,0.333,0.667,0.333,0,0,0
54,54,Single Family,0,0,Cheap,N,Syracuse,A,Old,127 annetta st,1,0.333,0.667,0.333,0,0,0
55,55,Single Family,0,1,Cheap,N,Syracuse,A,Old,142 annetta st,1,0.333,0.667,0.333,0,0,0
56,56,Single Family,0,0,Cheap,N,Syracuse,A,Old,122 annetta st,1,0.333,0.667,0.333,0,0,0
57,57,Single Family,0,0,Cheap,N,Syracuse,A,Old,131 annetta st,1,0.333,0.667,0.333,0,0,0
58,58,Single Family,0,0,Cheap,N,Syracuse,A,Old,123 annetta st,1,0.333,0.667,0.333,0,0,0
59,59,Single Family,17024.87,0,Cheap,N,Syracuse,A,Old,119 annetta st,1,0.333,0.667,0.333,0,0,0
60,60,Three Family,0,5,Cheap,Y,Syracuse,I,Old,113 annetta st,1,0.333,0.667,0.333,0,0,0
61,61,Single Family,0,0,Cheap,N,Syracuse,A,Old,118 annetta st,1,0.333,0.667,0.333,0,0,0
62,62,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,161 annetta st,1,0.333,0.667,0.333,0,0,0
63,63,Single Family,0,0,Moderate,N,Syracuse,A,Old,119 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
64,64,Single Family,0,0,Moderate,N,Syracuse,A,Old,103 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
65,65,Single Family,0,0,Moderate,N,Syracuse,A,Old,121 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
66,66,Single Family,0,0,Moderate,N,Syracuse,A,New,114 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
67,67,Single Family,0,0,Moderate,N,Syracuse,A,Old,112 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
68,68,Single Family,0,0,Moderate,N,Syracuse,A,Old,104 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
69,69,Single Family,0,0,Moderate,N,Syracuse,A,Old,101 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
70,70,Single Family,0,0,Moderate,N,Syracuse,A,Old,107 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
71,71,Single Family,0,0,Moderate,N,Syracuse,A,Old,117 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
72,72,Single Family,0,0,Moderate,N,Syracuse,A,Old,105 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
73,73,Single Family,0,0,Moderate,N,Syracuse,A,Old,113 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
74,74,Single Family,0,0,Moderate,N,Syracuse,A,Old,106 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
75,75,Single Family,0,0,Moderate,N,Syracuse,A,Old,109 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
76,76,Single Family,0,0,Moderate,N,Syracuse,A,Old,111 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
77,77,Single Family,0,0,Moderate,N,Syracuse,A,Old,110 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
78,78,Single Family,0,0,Moderate,N,Syracuse,A,Old,108 archer rd,1,0.933,0.067,0.866,0.067,0.929,0
79,79,Single Family,0,0,Cheap,N,Syracuse,A,Old,109 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
80,80,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
81,81,Single Family,0,0,Cheap,N,Syracuse,A,Old,110 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
82,82,Single Family,0,0,Cheap,N,Syracuse,A,Old,113 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
83,83,Multiple Residence,0,0,Moderate,N,Syracuse,A,New,118 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
84,84,Single Family,0,0,Cheap,N,Syracuse,A,New,101 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
85,85,Single Family,0,0,Cheap,N,Syracuse,A,Old,108 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
86,86,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,New,103 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
87,87,Single Family,0,0,Cheap,N,Syracuse,A,New,105 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
88,88,Single Family,0,0,Moderate,N,Syracuse,A,Old,117 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
89,89,Single Family,0,0,Cheap,N,Syracuse,A,Old,112 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
90,90,Single Family,0,0,Cheap,N,Syracuse,A,Old,111 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
91,91,Single Family,0,0,Cheap,N,Syracuse,A,Old,119 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
92,92,Single Family,0,0,Cheap,N,Syracuse,A,New,107 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
93,93,Two Family,0,0,Cheap,N,Syracuse,A,Old,114 arnts pl,1,0.942,0.058,0.75,0.192,0.714,0
94,94,Single Family,0,1,Cheap,Y,Syracuse,A,Old,151 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
95,95,Single Family,0,0,Cheap,N,Outside NY,A,Old,100 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
96,96,Single Family,0,0,Cheap,N,Syracuse,A,Old,120 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
97,97,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
98,98,Single Family,0,0,Cheap,N,Syracuse,A,Old,140 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
99,99,Single Family,0,0,Cheap,N,Syracuse,A,Old,143 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
100,100,Single Family,0,0,Cheap,N,Syracuse,A,Old,136 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
101,101,Single Family,0,9,Cheap,N,"Outside Syr, In NY",I,Old,145 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
102,102,Single Family,0,0,Cheap,N,Syracuse,A,Old,137 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
103,103,Single Family,0,0,Cheap,N,Syracuse,A,Old,148 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
104,104,Single Family,0,0,Cheap,N,Syracuse,A,Old,126 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
105,105,Single Family,0,0,Cheap,N,Syracuse,A,Old,131 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
106,106,Single Family,0,0,Cheap,N,Syracuse,A,Old,121 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
107,107,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,114 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
108,108,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,130 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
109,109,Cemetery,22243.28,0,Cheap,N,"Outside Syr, In NY",unknown,New,145 arsenal dr,1,0.98,0.02,0.673,0.306,0.333,0
110,110,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,111 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
111,111,Parking,0,0,Cheap,N,Syracuse,unknown,Old,107 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
112,112,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,110 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
113,113,Industrial,0,0,Cheap,N,Syracuse,A,Old,103 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
114,114,Parking,0,0,Cheap,N,Syracuse,unknown,New,113 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
115,115,Parking,0,0,Cheap,N,Syracuse,unknown,Old,109 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
116,116,Parking,0,0,Cheap,N,Syracuse,unknown,New,115 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
117,117,Parking,0,0,Cheap,N,Syracuse,unknown,Old,106 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
118,118,Commercial,0,0,Cheap,N,Syracuse,unknown,Old,114 ash st,1,0.762,0.238,0.456,0.307,0.13,0.583
119,119,Single Family,0,0,Cheap,N,Syracuse,A,Old,105 avery av,1,0.974,0.026,0.872,0.103,0.974,0
120,120,Two Family,0,0,Moderate,N,Syracuse,A,Very Old,113 avery av,1,0.974,0.026,0.872,0.103,0.974,0
121,121,Single Family,0,0,Moderate,N,Syracuse,A,Very Old,101 avery av,1,0.974,0.026,0.872,0.103,0.974,0
122,122,Single Family,0,0,Moderate,N,Syracuse,A,Old,117 avery av,1,0.974,0.026,0.872,0.103,0.974,0
123,123,Single Family,0,0,Cheap,N,Syracuse,A,Old,109 avery av,1,0.974,0.026,0.872,0.103,0.974,0
124,124,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,115 avery av,1,0.974,0.026,0.872,0.103,0.974,0
