,Address,Fire alarm
1,1 CHILDRENS Cir,1
2,1 CONSERVATION Pl,4
3,1 COSTELLO Ct,1
4,1 DESTINY USA Dr,39
5,1 DUPLI PARK Dr,1
6,1 E CHILDRENS Cir,1
7,1 WALSH Cir,4
8,10 STONE Ct,1
9,100 AMIDON Dr,14
10,100 BERNIE BLAKE Dr,1
11,100 BURTEN St,1
12,100 CITY CROSSROADS Dr,1
13,100 COLLEGE Pl,12
14,100 CONIFER Dr,1
15,100 DABLON Ct,1
16,100 E ONONDAGA St,44
17,100 E WASHINGTON St,1
18,100 EDMUND Ave,1
19,100 ELIZ.BLACKWELL St,2
20,100 HERKIMER St,1
21,100 INTREPID Ln,1
22,100 JOHN St,1
23,100 LEA Ln,1
24,100 LIGHT Ct,1
25,100 LONGMEADOW Dr,1
26,100 MADISON St,2
27,100 MOUNT OLYMPUS Dr,32
28,100 MULBERRY Ter,1
29,100 N SALINA St,3
30,100 PASTIME Dr,3
31,100 POND Ln,1
32,100 S CLINTON St,1
33,100 S EDWARDS Ave,1
34,100 SHERIDAN Pl,1
35,100 SMITH Dr,5
36,100 WESTMINSTER Ave,1
37,100 WOOD Ave,2
38,100-120 MADISON St,1
39,1000 BELLEVUE Ave,5
40,1000 BUTTERNUT St,1
41,1000 COL EILEEN COLLINS Blvd,78
42,1000 ERIE Blvd W,1
43,1000 IRVING Ave,18
44,1000 W GENESEE St,4
45,1001 CANAL St,2
46,1001 COL EILEEN COLLINS Blvd,13
47,1001 N SALINA St,3
48,1001 PARK Ave,3
49,1001 S TOWNSEND St,1
50,1001 W FAYETTE St,2
51,1001 W GENESEE St,1
52,1003 JAMESVILLE Ave,1
53,1003 LODI St,1
54,1003 TYSON Pl,1
55,1003 WALNUT Ave,1
56,1004 ACKERMAN Ave,1
57,1004 FIRST NORTH St,5
58,1005 LODI St,1
59,1005 N GEDDES St,1
60,1005 S TOWNSEND St,1
61,1005 TYSON Pl,1
62,1005 W FAYETTE St,4
63,1006 ALMOND St,1
64,1006 N STATE St,1
65,1007 EMERSON Ave,1
66,1007 N TOWNSEND St,1
67,1007 PARK St,3
68,1007 S TOWNSEND St,1
69,1008 GLENCOVE Rd,1
70,1009 E FAYETTE St,1
71,1009 MADISON St,2
72,100BLK BRUCE St,1
73,100BLK DOUGLAS St,1
74,100BLK MURRAY Ave,1
75,100BLK WHITTIER Ave,1
76,100BLK WOOD Ave,1
77,101 ATKINSON Ave,1
78,101 AVOCA St,1
79,101 BOISE Dr,4
80,101 BUNGALOW Ter,1
81,101 CLEVELAND Ave,1
82,101 COLLEGE Pl,3
83,101 CROUSE Dr,1
84,101 E COLVIN St,1
85,101 FARM ACRE Rd,1
86,101 GLAHN Ave,1
87,101 HOBART Ave,1
88,101 HURLBURT Rd,1
89,101 INTREPID Ln,1
90,101 KIRKPATRICK St,1
91,101 KIRKWOOD Pl,2
92,101 LAFAYETTE Rd,3
93,101 LATIMER Ter,1
94,101 LEA Ln,1
95,101 LINWILL Ter,3
96,101 MALCOLM St,1
97,101 MARSHALL St,1
98,101 N BEECH St,2
99,101 N CLINTON St,4
100,101 N SALINA St,1
101,101 OAKLEY Dr E,1
102,101 RICHMOND Ave,3
103,101 RIVERDALE Dr,1
104,101 RUGBY Rd,1
105,101 SMITH Ln,6
106,101 SOLAR St,1
107,101 UNION Ave,1
108,101 W GENESEE St,1
109,101 WEISER Ct,1
110,101 WOODBINE Ave,5
111,1010 BELLEVUE Ave,1
112,1010 TURTLE St,1
113,1010 WILLIS Ave,1
114,1011 CARBON St,2
115,1011 E ADAMS St,3
116,1011 SPRING St,1
117,1012 HAWLEY Ave,1
118,1013 FIRST NORTH St,1
119,1013 S TOWNSEND St,1
120,1014 TEALL Ave,1
121,1015 EMERSON Ave,1
122,1015 POND St,6
123,1016 N TOWNSEND St,1
124,1017 HARRISON St,2
125,1017 TYSON Pl,1
126,1018 MILTON Ave,1
127,1019 JAMES St,4
128,1019 N MCBRIDE St,1
129,102 BARRINGTON Rd,2
130,102 CROLY St,4
131,102 E KENNEDY St,2
132,102 FAIRFIELD Ave,1
133,102 FOUNTAIN St,1
134,102 GRAND Ave,1
135,102 GREENWOOD Pl,1
136,102 HARTSON St,1
137,102 HENSBERRY Rd,1
138,102 HUGHES Pl N,1
139,102 IVY RIDGE Rd,1
140,102 KLINE St,1
141,102 LANDON Ave,1
142,102 LAWRENCE St,1
143,102 LINWILL Ter,2
144,102 LOEHR Ave,1
145,102 OLIVE St,1
146,102 PARK St,1
147,102 RIVERDALE Dr,1
148,102 RONEY Ln,5
149,102 SCOTT Ave,1
150,102 SCOTTHOLM Ter,1
151,102 STINARD Ave,1
152,102 UPLAND Rd,1
153,102 VILLAGE Dr,2
154,102 W DIVISION St,1
155,102 WAVERLY Ave,1
156,102 WHITWELL Dr,3
157,102 WOODBINE Ave,4
158,1020 HIAWATHA Blvd W,1
159,1020 N MCBRIDE St,10
160,1022 N STATE St,4
161,1022 WOLF St,2
