,Address,Fire.alarm
1,0 block academy st,1
2,0 block ackerman ave,2
3,0 block adams st e,4
4,0 block almond st,1
5,0 block amidon dr,14
6,0 block arnts pl,1
7,0 block arsenal dr,1
8,0 block atkinson ave,1
9,0 block avery ave,2
10,0 block avoca st,1
11,0 block barrington rd,2
12,0 block beech st n,2
13,0 block beecher st,1
14,0 block belden ave,3
15,0 block bellevue ave,14
16,0 block bernie blake dr,1
17,0 block berwyn ave,1
18,0 block blossom rd,3
19,0 block boise dr,4
20,0 block bradley st,1
21,0 block brighton pl,3
22,0 block bristol pl,1
23,0 block broadview dr,1
24,0 block bronson st,1
25,0 block bruce st,1
26,0 block bungalow ter,1
27,0 block burnet ave,2
28,0 block burten st,2
29,0 block butternut st,8
30,0 block canal st,2
31,0 block carbon st,3
32,0 block carbon st s,3
33,0 block carlisle st,1
34,0 block centennial dr,1
35,0 block childrens cir,1
36,0 block childrens cir e,1
37,0 block city crossroads dr,1
38,0 block claire rd,3
39,0 block cleveland ave,1
40,0 block clinton st n,4
41,0 block clinton st s,14
42,0 block col eileen collins blvd,91
43,0 block college pl,23
44,0 block colvin st,2
45,0 block colvin st e,2
46,0 block comstock ave,4
47,0 block concord pl,1
48,0 block conifer dr,1
49,0 block conservation pl,4
50,0 block cordova st,1
51,0 block costello ct,1
52,0 block court st,9
53,0 block coykendall ave,2
54,0 block crippen pl,2
55,0 block croly st,32
56,0 block crouse dr,3
57,0 block culbert st,3
58,0 block dablon ct,1
59,0 block danforth st,3
60,0 block danforth ter,1
61,0 block delong ave,3
62,0 block demong dr,1
63,0 block destiny usa dr,39
64,0 block dewitt rd,2
65,0 block diana ave,1
66,0 block dickerson st,1
67,0 block division st,1
68,0 block douglas st,2
69,0 block dupli park dr,1
70,0 block eastman ave,2
71,0 block edmund ave,1
72,0 block edtim rd,2
73,0 block edwards ave s,1
74,0 block eliz.blackwell st,2
75,0 block elk st,2
76,0 block elliott st,1
77,0 block emerson ave,3
78,0 block erie blvd e,1
79,0 block erie blvd w,1
80,0 block erie st,1
81,0 block euclid ave,6
82,0 block eureka st,1
83,0 block fage ave,1
84,0 block fairfield ave,1
85,0 block farm acre rd,1
86,0 block fayette st,9
87,0 block fayette st e,4
88,0 block first north st,7
89,0 block fish ave,1
90,0 block fitch st,1
91,0 block fountain st,4
92,0 block foxboro rd,3
93,0 block gannett ave,2
94,0 block geddes st n,1
95,0 block geddes st s,4
96,0 block genesee st,19
97,0 block genesee st e,15
98,0 block gere ave,1
99,0 block gertrude st,1
100,0 block gilbert ave,1
101,0 block giminski dr,1
102,0 block glahn ave,2
103,0 block glencove rd,1
104,0 block gordon ave,1
105,0 block grand ave,1
106,0 block grape ter,1
107,0 block gray ave,1
108,0 block green street pl,2
109,0 block greenwood pl,1
110,0 block griffin st,1
111,0 block haffenden rd,1
112,0 block harding st,1
113,0 block harford rd,1
114,0 block harrison st,8
115,0 block hartley st,1
116,0 block hartson st,2
117,0 block hatch st,1
118,0 block hawley ave,1
119,0 block helen st,1
120,0 block hensberry rd,1
121,0 block herbert st,2
122,0 block herbst ave,1
